Leggendaria	21068	21066	21094	21069	21067	21096	21095																
처리력 S+	16001	16014	16043	12043																			
개인차 S+	19010	20051	20050	20042	18067																		
처리력 S	20067	20086	21059	18036	21082																		
개인차 S	17002	19006	14010																				
처리력 A+	18034	21044	21084	13042																			
개인차 A+	19049	21079																					
처리력 A	17003	19021	21089	15021	17036	18040	20095	20076	11034	19070													
개인차 A	20038	20039	15026	12024	17038	18057	20089																
처리력 B+	17021	17022	21015	20084	20041	22040	19060	19067	21048	20064													
개인차 B+	21051	20040	21042	20094																			
처리력 B	16007	21035	16010	18012	21005	20007	17015	22039	21078	22048	20037	20058	19039	18045	20045	19052	21083	20060	16044				
개인차 B	14029	20063																					
처리력 C	21050	22051	14004	6005	18016	17020	21065	19016	20082	17024	21087	21058	19034	10026	21038	20035	19059	20033	19066	20093	21031	20075	20054
개인차 C	21001	11013	12028	22021	19069	17057																	
처리력 D	11001	18002	18009	13008	14011	20017	15025	17042	22018	19053	19054	19056	20066	14036	15047	14043							
개인차 D	17019	15015	10020A	9023	8022	8032																	
처리력 E	20046	19015	21060	14020	20019	9022	17031	2204	5020	13039	18066	22031											
개인차 E	10020H	18044	12025	15042	10035																		
처리력 F	7001	11016A	11016H	15030	18048	13045																	
신곡 or 보류	22049	22054	22053	22007	22050	22060	22011	22055	22052	22027													
